id,sku_id,description,primary_image
32fed6c8-4b7f-4cf0-ac37-a5bd8daf2753,10907,"WALL ART, ""LOVE"", WOOD, NATURAL",https://fileserver-g-p.sourcerer.tech/files/592bfe56-3bc9-42f5-8c48-6f5daa88c63d
c64942c9-0497-48b4-9a1b-4df1dbed2a5a,10907D,"WOODEN WALL ART,",https://fileserver-g-p.sourcerer.tech/files/913c9b33-57dd-48b7-8a5d-ed7b89fc40e1
2280668d-4fe2-4634-88b8-7a6d7f2b0bf0,10908,"METALLIC CIRCLE WALL ART, NATURAL",https://fileserver-g-p.sourcerer.tech/files/51483094-43ea-4839-a827-e29a5559cddd
28ea6ff1-01d8-444d-8c82-3fd90e5829f3,10909,"METALLIC SQUARE WALL ART, NATURAL",https://fileserver-g-p.sourcerer.tech/files/dd1bd27f-9d42-4481-8eda-1f2310517e8b
0775e3c9-5def-4514-a4ae-c1da4f3b3280,10910,"GOLD CIRCLES WALL ART, NATURALWOOD FRAME",https://fileserver-g-p.sourcerer.tech/files/b92d0643-cd86-4ab2-8743-7bddef213399
7c9f5499-424b-4538-ad31-d7aee4372fe5,10911,GOLD HORSESHOE TABLE SCULPTURE,https://fileserver-g-p.sourcerer.tech/files/93ddd667-8555-4873-8863-26172c75c01a
9f2f733c-2cb2-4ef6-a2ab-c6c7edfbd016,10914,"METAL TRI SUPPORT ACCENT TABLE, GOLD",https://fileserver-g-p.sourcerer.tech/files/3c3ccaa7-9e26-4416-9587-138b5066e92d
61e960d2-5bf6-4877-8b4e-6fb676d94bf9,10915,"METAL COAT RACK, ANTIQUE GOLD",https://fileserver-g-p.sourcerer.tech/files/9c082df2-2519-43fe-9355-17154204a806
9d6223a2-85b5-457a-8d1c-88be0eb6b4d2,10916,"METAL CIRCLE SCULPTURE MIRROR,GOLD",https://fileserver-g-p.sourcerer.tech/files/33666e04-0ebe-4398-87c3-9e4a12009af3
f7417049-0f2c-4a76-9d87-0de150763318,10917,"METAL WALL SHELF/ORGANIZER, GRAY",https://fileserver-g-p.sourcerer.tech/files/d73303e2-ec67-43d0-ac4c-0e86c1afff55
4dcb8874-8692-4082-987a-17c5f771d4af,10918,"RUSTIC WOOD CHEST, NATURAL",https://fileserver-g-p.sourcerer.tech/files/498d765f-c0a8-4c74-896a-2373aae5ba9a
681f326b-3e42-41ed-96f9-98ea0658551c,10919,"RUSTIC WOOD DRESSER, NATURAL",https://fileserver-g-p.sourcerer.tech/files/7b91813f-4fcb-4eb4-8ecf-374d83f014c4
